0x1b75e0a2	FOD_switch_enable
0x2505b27e	Gesture_switch_enable
0x5927f85f	PDE_DATA
0xf30e6b61	__ClearPageMovable
0x3b0c217a	__SetPageMovable
0x5ed4446a	___pskb_trim
0x1d24c881	___ratelimit
0x58b04525	__alloc_pages
0x949f7342	__alloc_percpu
0xaf793668	__alloc_percpu_gfp
0xb9b1f28d	__alloc_skb
0x12a4e128	__arch_copy_from_user
0x6cbbfc54	__arch_copy_to_user
0x922f45a6	__bitmap_clear
0xa084749a	__bitmap_or
0x615911d7	__bitmap_set
0x8d65eb42	__blk_alloc_disk
0x2004a910	__brelse
0xe1bae3a0	__cfg80211_alloc_event_skb
0xfd7fcbaf	__cfg80211_alloc_reply_skb
0x41e917ea	__cfg80211_radar_event
0xc97cab18	__cfg80211_send_event_skb
0x4411a445	__cfi_slowpath_diag
0x88db9f48	__check_object_size
0x5c4cffba	__class_create
0x8e212945	__class_register
0xc6a4a872	__clk_is_enabled
0xeae3dfd6	__const_udelay
0x15db3b99	__cpu_active_mask
0xac594e02	__cpu_online_mask
0xde7ece30	__cpu_possible_mask
0xb3055449	__cpu_present_mask
0xaa071bc3	__cpuhp_remove_state
0x80446745	__cpuhp_setup_state
0x7dd98ec4	__cpuhp_setup_state_cpuslocked
0xd298f619	__cpuhp_state_add_instance
0xc60c809e	__cpuhp_state_remove_instance
0x5a44f8cb	__crypto_memneq
0xa3f12f69	__crypto_xor
0x0f5f3343	__dev_change_net_namespace
0xb8543eb6	__dev_get_by_index
0x2a3dc045	__dev_kfree_skb_any
0x20055eca	__devm_iio_device_register
0x3289931e	__devm_regmap_init
0x9b7ed4e8	__devm_regmap_init_i2c
0x2f70392a	__devm_regmap_init_swr
0xdd7669ba	__devm_request_region
0x8cf1518f	__devm_reset_control_get
0x8bf931e9	__devres_alloc_node
0xcb3a10e4	__drm_atomic_helper_connector_destroy_state
0x6f5bc337	__drm_atomic_helper_connector_duplicate_state
0x456d9e1a	__drm_atomic_helper_connector_reset
